zcta,state,synth_avg_size,real_avg_size,synth_avg_adults,synth_avg_kids,synth_total_pop,real_total_pop
04758,ME,2.483592400690846,2.33,1.8998272884283247,0.5837651122625216,1438,1438
04626,ME,2.4158878504672896,2.42,1.6542056074766356,0.7616822429906542,517,517
04555,ME,2.120054570259209,2.1,1.829467939972715,0.29058663028649384,1554,1554
04011,ME,2.5030002307869834,2.29,1.9408031387029772,0.5621970920840065,21691,21691
04355,ME,2.6424242424242426,2.59,2.0323232323232325,0.6101010101010101,2616,2616
04061,ME,2.989722507708119,2.99,1.9393627954779034,1.0503597122302157,2909,2909
04453,ME,2.604790419161677,2.6,1.9221556886227544,0.6826347305389222,870,870
04664,ME,2.744565217391304,2.74,2.050724637681159,0.6938405797101449,1515,1515
04765,ME,2.168421052631579,2.06,1.7642105263157895,0.40421052631578946,1030,1030
04739,ME,2.404255319148936,2.11,2.094224924012158,0.3100303951367781,791,791
04965,ME,2.6703980099502487,2.66,1.7512437810945274,0.9191542288557214,2147,2147
04573,ME,2.690058479532164,2.38,1.9707602339181287,0.7192982456140351,460,460
04238,ME,2.7213822894168467,2.65,2.183585313174946,0.5377969762419006,1260,1260
03906,ME,2.453653751839137,2.41,1.8543403629230015,0.5993133889161354,5003,5003
04673,ME,2.1379310344827585,2.14,1.8045977011494252,0.3333333333333333,186,186
04614,ME,2.171583850931677,2.12,1.7127329192546583,0.4588509316770186,2797,2797
04613,ME,2.1627906976744184,2.16,2.1627906976744184,0.0,93,93
04910,ME,2.5451541850220263,2.55,2.0330396475770924,0.512114537444934,2311,2311
04746,ME,2.0,1.95,1.7857142857142858,0.21428571428571427,392,392
04256,ME,2.7899008115419295,2.74,1.848512173128945,0.9413886384129847,3094,3094
04216,ME,2.4015444015444016,2.4,2.030888030888031,0.37065637065637064,622,622
04630,ME,2.432862190812721,2.37,1.823321554770318,0.6095406360424028,1377,1377
04747,ME,2.3937153419593344,2.35,1.8465804066543439,0.5471349353049908,1295,1295
03903,ME,2.4947176684881605,2.49,2.009471766848816,0.4852459016393443,6848,6848
04732,ME,2.123324396782842,2.1,1.8150134048257374,0.30831099195710454,1584,1584
04564,ME,2.056603773584906,2.01,1.7735849056603774,0.2830188679245283,436,436
04912,ME,2.5841584158415842,2.48,2.072607260726073,0.5115511551155115,783,783
04019,ME,1.5714285714285714,1.45,1.5714285714285714,0.0,55,55
04474,ME,2.4346717654557044,2.42,1.9541108986615678,0.4805608667941364,3820,3820
04442,ME,2.2131147540983607,2.21,1.9836065573770492,0.22950819672131148,135,135
