zcta,state,synth_avg_size,real_avg_size,synth_avg_adults,synth_avg_kids,synth_total_pop,real_total_pop
04231,ME,3.710526315789474,2.47,3.289473684210526,0.42105263157894735,282,282
04289,ME,4.342105263157895,2.67,3.5723684210526314,0.7697368421052632,1980,1980
04667,ME,4.472972972972973,2.57,3.310810810810811,1.162162162162162,1324,1324
04676,ME,3.5105105105105103,2.1,2.948948948948949,0.5615615615615616,1169,1169
04418,ME,4.229857819905213,2.87,3.2369668246445498,0.9928909952606635,1785,1785
04758,ME,3.8346666666666667,2.33,2.933333333333333,0.9013333333333333,1438,1438
04410,ME,3.609271523178808,2.45,2.980132450331126,0.6291390728476821,1090,1090
04463,ME,3.658469945355191,2.22,2.9959016393442623,0.662568306010929,2678,2678
04646,ME,3.7037037037037037,2.22,3.0,0.7037037037037037,100,100
04280,ME,3.806256860592755,2.37,3.0164654226125136,0.7897914379802415,6935,6935
04330,ME,3.7560836772449124,2.07,2.9938807456951757,0.7622029315497367,26394,26394
04412,ME,3.6173488546751784,2.26,2.80923770184003,0.8081111528351483,9633,9633
04626,ME,4.007751937984496,2.42,2.744186046511628,1.2635658914728682,517,517
04530,ME,3.7585983127839064,2.22,2.9892926670992863,0.7693056456846203,11584,11584
04757,ME,3.66991643454039,2.36,2.8064066852367686,0.8635097493036211,2635,2635
04555,ME,3.492134831460674,2.1,3.013483146067416,0.4786516853932584,1554,1554
04923,ME,3.7285714285714286,2.23,3.007142857142857,0.7214285714285714,522,522
04434,ME,4.166666666666667,2.68,3.170138888888889,0.9965277777777778,1200,1200
04259,ME,3.7513751375137514,2.28,2.9823982398239823,0.768976897689769,3410,3410
04224,ME,4.292974588938715,2.51,3.4573991031390134,0.8355754857997011,2872,2872
04350,ME,3.6231155778894473,2.36,3.0100502512562812,0.6130653266331658,3605,3605
04015,ME,3.0123558484349258,1.98,2.5749588138385504,0.43739703459637563,3657,3657
04768,ME,3.1507936507936507,1.96,2.7777777777777777,0.373015873015873,397,397
04855,ME,2.4403669724770642,1.63,2.4403669724770642,0.0,266,266
04342,ME,3.7020408163265306,2.4,2.8959183673469386,0.8061224489795918,1814,1814
03905,ME,3.472949389179756,2.33,2.924956369982548,0.5479930191972077,1990,1990
04055,ME,2.8608885651857245,1.92,2.3466860888565186,0.5142024763292061,3928,3928
04915,ME,3.693246541903987,2.11,3.033360455655004,0.6598860862489829,9078,9078
04481,ME,3.7534246575342465,2.16,2.952054794520548,0.8013698630136986,548,548
04049,ME,4.012282497441146,2.6,3.4196519959058342,0.5926305015353122,3920,3920
04092,ME,3.683266932270916,2.26,3.007605939876856,0.6756609923940601,20339,20339
04344,ME,3.890625,2.04,2.7942708333333335,1.0963541666666667,2988,2988
04864,ME,4.413949275362318,2.26,3.7934782608695654,0.6204710144927537,4873,4873
04538,ME,3.0634920634920637,1.95,2.708994708994709,0.3544973544973545,1737,1737
04936,ME,2.671641791044776,1.61,1.955223880597015,0.7164179104477612,179,179
04449,ME,3.6950819672131145,2.28,3.0098360655737704,0.6852459016393443,1127,1127
04773,ME,3.5989583333333335,2.03,3.0104166666666665,0.5885416666666666,691,691
04284,ME,3.6862068965517243,2.1,3.0551724137931036,0.6310344827586207,1069,1069
04942,ME,3.5516129032258066,2.08,2.9935483870967743,0.5580645161290323,1101,1101
04988,ME,4.194092827004219,2.19,3.067510548523207,1.1265822784810127,1988,1988
04575,ME,6.588235294117647,3.0,4.666666666666667,1.9215686274509804,336,336
04750,ME,3.747081712062257,2.15,2.7704280155642023,0.9766536964980544,1926,1926
04414,ME,3.490079365079365,2.08,2.9325396825396823,0.5575396825396826,1759,1759
04616,ME,3.130252100840336,1.96,2.5168067226890756,0.6134453781512605,745,745
04551,ME,3.6222222222222222,2.45,2.8088888888888888,0.8133333333333334,815,815
04742,ME,3.7675736961451247,2.4,3.0340136054421767,0.7335600907029478,3323,3323
04553,ME,3.6791666666666667,2.31,2.754166666666667,0.925,1766,1766
04562,ME,3.290268456375839,2.08,2.9077181208053693,0.3825503355704698,1961,1961
04611,ME,3.6382978723404253,2.34,3.0638297872340425,0.574468085106383,513,513
04941,ME,3.624217118997912,2.46,2.826722338204593,0.7974947807933194,1736,1736
04951,ME,3.826241134751773,2.28,3.0319148936170213,0.7943262411347518,1079,1079
04736,ME,3.7389142146705345,2.14,3.0124326564442603,0.7264815582262744,9022,9022
04628,ME,3.4791666666666665,2.22,2.9097222222222223,0.5694444444444444,501,501
04650,ME,2.8282828282828283,1.78,2.313131313131313,0.5151515151515151,280,280
04022,ME,3.696078431372549,2.44,3.0065359477124183,0.6895424836601307,1131,1131
04265,ME,3.727272727272727,2.08,2.9411764705882355,0.786096256684492,697,697
04448,ME,3.837912087912088,2.39,3.0164835164835164,0.8214285714285714,1397,1397
04011,ME,3.7398275862068964,2.29,2.8998275862068965,0.84,21691,21691
04556,ME,3.49468085106383,2.27,2.9627659574468086,0.5319148936170213,1314,1314
04363,ME,3.7974137931034484,2.49,2.985632183908046,0.8117816091954023,2643,2643
04979,ME,3.50210970464135,2.15,2.9662447257383966,0.5358649789029536,830,830
04975,ME,1.894736842105263,1.38,1.894736842105263,0.0,36,36
04952,ME,3.6652542372881354,2.29,2.7838983050847457,0.8813559322033898,1730,1730
04355,ME,4.106750392464678,2.59,3.1585557299843012,0.9481946624803768,2616,2616
